tipo,precio,m2,precio_m2,zona,features
Departamento,350000,30,11667,Billinghurst,30 m² tot. 1 amb. 1 baño
Departamento,600000,45,13333,Villa Lynch,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,640000,58,11034,San Martín Centro,58 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,650000,65,10000,General San Martín,65 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,400000,47,8511,San Martín Centro,47 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,38,14474,General San Martín,38 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,35,14286,General San Martín,35 m² tot. 1 amb. 1 baño
Departamento,850000,65,13077,Villa Lynch,65 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,500000,60,8333,San Martín Centro,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,780000,53,14717,General San Martín,53 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,750000,52,14423,General San Martín,52 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,50,11000,Villa Ballester,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,51,12745,San Martín Centro,51 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,150000,50,3000,Barrio Parque General San Martin,50 m² tot. 1 amb. 1 dorm. 1 baño
Departamento,650000,60,10833,José León Suárez,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,650000,54,12037,San Andrés,54 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,680000,50,13600,General San Martín,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,35,14286,José León Suárez,35 m² tot. 1 amb. 1 baño
Departamento,470000,40,11750,José León Suárez,40 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,650000,44,14773,Villa Ballester,44 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,45,11111,Villa Lynch,45 m² tot. 1 amb. 1 baño
Departamento,750000,55,13636,San Martín Centro,55 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,350000,25,14000,José León Suárez,25 m² tot. 1 amb. 1 baño
Departamento,400000,27,14815,Villa Ballester,27 m² tot. 1 amb. 1 baño
Departamento,620000,44,14091,Villa Ballester,44 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,400000,30,13333,San Martín Centro,30 m² tot. 1 amb.
Departamento,2500000,262,9542,Villa Ballester,262 m² tot. 5 amb. 2 baños
Departamento,780000,53,14717,General San Martín,53 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,1300000,220,5909,General San Martín,220 m² tot. 4 amb. 3 dorm. 1 baño
Departamento,570000,58,9828,Villa Ballester,58 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,1400000,180,7778,San Martín Centro,180 m² tot. 5 amb. 3 dorm. 2 baños
Departamento,650000,46,14130,General San Martín,46 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,450000,86,5233,Villa Libertad,86 m² tot. 1 amb. 1 baño 1 coch.
Departamento,950000,73,13014,Villa Ballester,73 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,430000,33,13030,Villa Ballester,33 m² tot. 1 amb. 1 baño
Departamento,380000,30,12667,José León Suárez,30 m² tot. 1 amb. 1 baño
Departamento,600000,56,10714,Villa Ballester,56 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,1100000,113,9735,General San Martín,113 m² tot. 2 amb. 1 dorm. 2 baños 1 coch.
Departamento,470000,40,11750,José León Suárez,40 m² tot. 1 baño
Departamento,700000,61,11475,General San Martín,61 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,630000,45,14000,General San Martín,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,580000,100,5800,Villa Ballester,100 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,38,14474,General San Martín,38 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,40,13750,General San Martín,40 m² tot. 1 amb. 1 dorm. 1 baño
Departamento,750000,75,10000,Villa Maipu,75 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,1400000,100,14000,San Andrés,100 m² tot. 3 amb. 2 dorm. 3 baños 1 coch.
Departamento,420000,39,10769,Villa Ballester,39 m² tot. 1 amb. 1 baño
Departamento,850000,85,10000,San Martín Centro,85 m² tot. 4 amb. 3 dorm. 2 baños
Departamento,1000000,130,7692,San Andrés,130 m² tot. 4 amb. 3 dorm. 2 baños
Departamento,800000,60,13333,José León Suárez,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,775000,52,14904,General San Martín,52 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,570000,64,8906,General San Martín,64 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,590000,45,13111,General San Martín,45 m² tot. 2 amb. 1 dorm.
Departamento,400000,35,11429,Villa Ballester,35 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,450000,33,13636,Villa Ballester,33 m² tot. 1 amb. 1 baño
Departamento,590000,50,11800,San Martín Centro,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,400000,32,12500,General San Martín,32 m² tot. 1 amb. 1 dorm.
Departamento,750000,70,10714,General San Martín,70 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,500000,40,12500,José León Suárez,40 m² tot. 2 amb. 1 dorm.
